2023-05-26 11:33:01.132863
s	n	mthd	Car/easy_R40	Car/moderate_R40	Car/hard_R40	Pedestrian/easy_R40	Pedestrian/moderate_R40	Pedestrian/hard_R40	Cyclist/easy_R40	Cyclist/moderate_R40	Cyclist/hard_R40	easy_R40	moderate_R40	hard_R40	avg	time
0.15000000000000002	3	3d	34.54983122678105	30.744315827264167	28.629351541803917	28.163687457704377	25.154272458995376	23.0985473291352	34.44529446846667	23.240900566891025	22.00196331432494	32.38627105098403	26.379829617716855	24.57662072842135	27.780907132374075	2023-05-26-13:40:05.891375
0.15000000000000002	4	3d	58.45421664863568	52.1245115835083	50.698700451888826	22.090723149375822	19.5768571165099	16.871219817888505	65.94147194858012	43.48934721886523	40.62647010720282	48.828803915530536	38.39690530629448	36.065463458993385	41.0970575602728	2023-05-26-13:44:08.500539
0.15000000000000002	5	3d	50.16488299775544	45.665076711034956	44.463483638344194	12.271151478011715	11.045641928741482	9.546345447969351	60.70911560818957	46.03727065575025	42.941618403090175	41.04838336131891	34.24932976517556	32.31714916313457	35.871620763209684	2023-05-26-13:47:51.688779
0.15000000000000002	6	3d	55.53030287719064	44.782952067325404	41.047306703141366	24.578986230766724	21.86089666115155	19.044674124870262	63.31301628306496	48.34820213313081	44.78916285203447	47.80743513034077	38.33068362053592	34.96038122668204	40.366166659186234	2023-05-26-13:51:37.745949
0.15000000000000002	7	3d	32.42717635894942	31.940889674503897	28.87094532671218	33.814720300829535	31.01878101668167	28.638121690867823	60.01647476685924	39.03914330017747	36.204479519748254	42.08612380887939	33.99960466378768	31.237848845776085	35.774525772814386	2023-05-26-13:55:22.319906
0.15000000000000002	8	3d	25.480220414455047	24.807488682744857	24.20654494364487	4.999358764314209	3.884024306289492	3.505775009637449	1.9460650720923547	2.075135332594376	2.020153139645172	10.808548083620536	10.255549440542909	9.910824364309164	10.324973962824204	2023-05-26-13:59:16.394364
0.15000000000000002	9	3d	22.071721704071088	21.121240215392064	20.827667751050672	17.01266691649756	14.247617173877344	12.669600675437229	43.0309432415503	28.33611597474584	26.30337430881297	27.371777287372982	21.234991121338414	19.933547578433622	22.84677199571501	2023-05-26-14:03:06.534663
0.2	0	3d	16.40839995722682	15.632746136566475	15.05509930603704	6.000697533424764	4.086242884995794	3.5467225259494457	20.84376667201538	12.570060621301838	11.87957901662164	14.417621387555656	10.763016547621369	10.160466949536042	11.780368294904356	2023-05-26-14:07:10.810622
0.2	1	3d	3.6395271498791475	4.403960478797076	4.606954728244764	3.2249214903505257	3.306284742339745	3.180454716398125	29.46606962087487	20.54383838312827	19.43721915602919	12.110172753701514	9.418027868088364	9.074876200224027	10.201025607337968	2023-05-26-14:11:10.067450
0.2	2	3d	0.052411398221165674	0.08142929964522706	0.0947880721630686	0.6098840113049582	0.4953187217655754	0.43741614018100083	14.031219828310643	8.723431771839937	8.240762684036987	4.897838412612256	3.10005993108358	2.9243222987936854	3.6407402141631735	2023-05-26-14:15:12.675030
0.2	3	3d	16.6026452023451	18.80619274422986	18.2730789317655	11.83233779643361	11.566873753468917	10.778248186942696	13.113049429232653	7.1772298258451315	6.97002105403609	13.849344142670455	12.516765441181304	12.007116057581428	12.791075213811062	2023-05-26-14:19:04.818718
0.2	4	3d	1.2604418676657065	2.8033900932892797	3.008091392623912	1.2242242977043247	1.0613680485645678	1.0118065503714806	2.8958228175858154	2.6381699570516846	2.3821171722250227	1.7934963276519487	2.167642699635177	2.134005038406805	2.0317146885646435	2023-05-26-14:22:54.581016
0.2	5	3d	31.61906241360846	23.84760447940751	21.8093099495603	15.302256174797648	13.352352178643677	12.077845958437482	0.05041537090206551	0.09351009547480657	0.0961763793565449	15.657244653102724	12.431155584508666	11.327777429118107	13.138725888909834	2023-05-26-14:26:48.530405
0.2	6	3d	25.829122658071746	22.093194357318318	20.829434060971085	1.304692445713719	1.0835264681048375	1.062728480387765	8.127642222260684	6.228350150952826	5.779465684767478	11.75381910868205	9.80169032545866	9.223876075375443	10.259795169838716	2023-05-26-14:30:52.128041
0.2	7	3d	5.612271587361706	8.833158326878603	9.746660393766259	0.8882737525688893	1.0389463601006583	1.0668416533976477	1.8866103180980174	2.429293035650485	2.4092025956451013	2.795718552676204	4.100465907543248	4.407568214269669	3.767917558163041	2023-05-26-14:34:47.784964
0.2	8	3d	15.327923412251248	14.12700725740111	16.422991378105646	6.3565284628014345	5.570777096539433	5.13112272827279	24.3656416546753	12.263144082750532	11.470953344413175	15.350031176575996	10.653642812230357	11.008355816930537	12.337343268578964	2023-05-26-14:38:37.957004
0.2	9	3d	17.510507985803233	19.348226575895886	18.91427567406665	5.071322196934562	4.932481797936951	4.608224402168949	8.055777180618588	9.240405049753754	8.68382772686234	10.21253578778546	11.173704474528863	10.735442601032647	10.707227621115656	2023-05-26-14:42:36.880626
0.25	0	3d	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2023-05-26-14:46:08.104617
0.25	1	3d	8.704296391011367	9.736893376035177	10.050410850937732	3.482646873901887	3.4356228319859876	3.0563090841874483	1.652536406346033	1.4191605282418658	1.3567208363915613	4.613159890419762	4.8638922454210105	4.821146923838914	4.766066353226561	2023-05-26-14:50:08.475941
0.25	2	3d	0.9548538483868583	0.9398822517148214	1.0618049479134872	2.5339443975387166	1.9796049246807144	1.832302045183432	6.478930189885723	4.720976120523283	4.346639662422134	3.322576145270433	2.5468210989729396	2.413582218506351	2.760993154249908	2023-05-26-14:53:48.666190
0.25	3	3d	11.267572435091619	11.401046476331594	10.29306981807466	0.11134453200511356	0.08993462295614157	0.08088977118162691	4.511648608310023	3.041412985071058	2.625862366947069	5.296855191802251	4.844131361452931	4.333273985401118	4.824753512885433	2023-05-26-14:57:32.521374
0.25	4	3d	1.788351638143099	2.653465369827333	2.9120215510672387	1.4972037725065843	1.6759314776765133	1.5864638952039256	0.42350594340607817	0.4485792653142885	0.4052914098157075	1.236353784685254	1.5926587042727114	1.6345922853622907	1.487868258106752	2023-05-26-15:01:35.626452
0.25	5	3d	17.440373974088185	14.706733593641255	14.024543101404952	7.652055552013505	7.204821008091283	6.638379213039347	27.453781178573188	18.097891212191403	17.184686013042068	17.515403568224958	13.336481937974648	12.615869442495457	14.489251649565022	2023-05-26-15:05:51.161587
0.25	6	3d	5.146821639469456	4.890838634515214	5.45147285148113	0.13215932888906917	0.13311797220115695	0.1123438795890832	13.949435961560253	6.7852488531630994	6.28509839657298	6.4094723099729265	3.936401819959824	3.9496383758810647	4.765170835271271	2023-05-26-15:09:57.431319
0.25	7	3d	1.2871486999360287	2.3870740022283723	3.046131777371223	0.5659905551933653	0.534745765354268	0.4250608075428185	35.12223610423135	22.69708943717298	21.585692628603397	12.325125119786913	8.539636401585208	8.35229507117248	9.739018864181535	2023-05-26-15:13:58.069687
0.25	8	3d	4.159559246845161	3.927662905892013	4.240314776817831	5.632390346147433	4.442078983268316	3.917012192213349	4.432801546276872	2.0103347862501293	1.9145101179009676	4.741583713089822	3.4600255584701523	3.3572790289773824	3.8529627668457858	2023-05-26-15:18:04.296035
0.25	9	3d	0.04739034492226656	0.11110773192999697	0.16260527317464205	0.9478717063036882	0.5076678648484044	0.5104553613793835	0.00042319802281883743	0.023760393437662397	0.022387853909068497	0.33189508308292454	0.21417866340535463	0.23181616282103135	0.25929663643643686	2023-05-26-15:22:17.002682
0.30000000000000004	0	3d	0.03355704697986577	0.00724976613657624	0.010975154119185503	0.0	0.0020542317173377154	0.00273000273000273	0.0	0.0004663889061625521	0.0004663889061625521	0.011185682326621925	0.003256795586692169	0.004723848585116929	0.006388775499477007	2023-05-26-15:26:00.486623
0.30000000000000004	1	3d	0.001160586483036094	0.005226294066146122	0.006736340414927418	0.0010123165176311793	0.001019077123756726	0.001019077123756726	1.0455024716256467	0.6583283334242548	0.6423868234690256	0.34922512487543794	0.22152456820471922	0.21671408033590325	0.2624879244720202	2023-05-26-15:29:52.469858
0.30000000000000004	2	3d	0.0	0.002166377816291161	0.001998800719568259	0.03516005361658607	0.029187552242553517	0.029342777214358677	0.002086811352253756	0.001453347543842651	0.001453347543842651	0.012415621656279942	0.010935759200895777	0.010931641825923197	0.011427674227699637	2023-05-26-15:33:29.720133
0.30000000000000004	3	3d	0.591434330990825	0.7323385968642735	0.6616673845537137	0.0	0.0	0.0	0.5124485444540492	0.18354457546697428	0.17311436909414687	0.36796095848162474	0.3052943907770826	0.27826058454928687	0.31717197793599805	2023-05-26-15:37:47.286763
0.30000000000000004	4	3d	0.006139991813344248	0.005796728069045472	0.005796728069045472	0.009077405512460803	0.00793920834751049	0.010198300283286119	0.006142506142506142	0.009780907668231613	0.009780907668231613	0.0071199678227703974	0.007838948028262524	0.008591978673521067	0.00785029817485133	2023-05-26-15:41:29.394791
